category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W CORSAIR CX750 (CP-9020279-NA),750W / 80 PLUS BRONZE / Non Modular,5Y,1990
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W THERMALTAKE SMART BX1,750W / 80 PLUS BRONZE / Non Modular,5Y,1990
620W.-750W.,POWER SUPPLY (80+BRONZE) 750W ASUS PRIME (90YE00Y0-B0DA00),750W / 80+BRONZE / Non Modular / Length 150mm / 2xCPU / 0xPCIe (16 Pin) / 3xPCIe (6+2 Pin),6Y,2190
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W ASUS TUF GAMING 750B,750W / 80 PLUS BRONZE / Non Modular,6Y,2350
620W.-750W.,POWER SUPPLY (80+ GOLD) 750W COOLER MASTER MWE V3 NM FR (MPE-7506-ACAG-BTH),750W / 80+Gold / Non Modular / Length 140mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 4xPCIe (6+2 Pin),5Y,2390
620W.-750W.,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,750W / 80+ Gold / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 2xPCIe (6+2 Pin),5Y,2990
620W.-750W.,POWER SUPPLY (80+ GOLD) 750W ANTEC GSK V2,750W / 80 PLUS GOLD / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 4xPCIe (6+2 Pin),10Y,2990
620W.-750W.,POWER SUPPLY (CYBENETICS GOLD) 750W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-750-BK),750W / Cybenetics Gold / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 4xPCIe (6+2 Pin),10Y,3090
620W.-750W.,POWER SUPPLY (80+ GOLD) 750W ASUS TUF GAMING 750G,750W / 80+GOLD / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (8 Pin),10Y,4390
620W.-750W.,POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),750W / Cybenetics Platinum / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 0x12VHPWR (16 Pin) / 3xPCIe (6+2 Pin),7Y,3990
620W.-750W.,POWER SUPPLY (80+ PLATINUM) 750W ASUS ROG-LOKI-750P,750W / 80+Platinum / Full Modular / Length 125mm / 2xCPU / 1xPCIe (16 Pin) / 3xPCIe (8 Pin),N/A,4950
800W.-1050W.,POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,850W / 80 PLUS BRONZE / Non Modular / Length 150 / 2xCPU / 2xPCIe (6+2 Pin),5Y,1950
800W.-1050W.,POWER SUPPLY (80+ BRONZE) 850W THERMALTAKE SMART BX3 (ATX 3.1),850W / 80+BRONZE / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),5Y,2890
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,850W / 80 PLUS GOLD / Full Modular,5Y,2350
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W COOLER MASTER MWE V3 (MPE-8506-ACAG-BTH),850W / 80 PLUS GOLD / Non Modular / Length 150mm / 2xCPU / 1xPCIe (12 Pin) / 4xPCIe (6+2 Pin),5Y,2790
800W.-1050W.,POWER SUPPLY (CYBENETICS GOLD) 850W SILVERSTONE TRITON 850RX (SST-TR850R-GF),850W / Cybenetics Gold / None Modular / Length 140mm / 2xCPU(4+4/8 Pin) / 1xPCIe (16 Pin) / 5xPCIe (6+2 Pin),5Y,2990
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GN PCIE5,850W / 80+GOLD / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 2xPCIe (6+2 Pin),3Y,3190
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,850W / 80 PLUS GOLD / Full Modular,7Y,3250
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W,850W / 80+GOLD / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),5Y,3250
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),850W / 80+GOLD / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (12 Pin) / 4xPCIe (6+2 Pin),7Y,3290
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,850W / 80+GOLD / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 3xPCIe (6+2 Pin),5Y,3390
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT,850W / 80+Gold / Full Modular / Length 140mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),5Y,3490
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,850W / 80+GOLD / Full Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),10Y,3490
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2 WHITE,850W / 80+GOLD / Full Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),10Y,3490
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E (CP-9020296-NA),850W / Cybenetics Gold / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),7Y,3590
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E WHITE (CP-9020293-NA),850W / Cybenetics Gold / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),7Y,3690
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W GIGABYTE UD850GM PG5 ICE,850W / 80+GOLD / Full Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),5Y,3550
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT SNOW,850W / 80+GOLD / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 5xPCIe (6+2 Pin),5Y,3350
800W.-1050W.,POWER SUPPLY (80+GOLD) 850W ASUS PRIME 850G,850W / 80+Gold / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),10Y,3750
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),850W / 80+GOLD / FULL Modular / Length 160mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),10Y,4290
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W NZXT WHITE (PA-8G2BW-US),850W / 80+GOLD / FULL Modular / Length 160mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),10Y,4490
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W ASUS TUF GAMING 850G,850W / 80+GOLD / Full Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 3xPCIe (8 Pin),10Y,5590
800W.-1050W.,POWER SUPPLY (80+ GOLD) 850W ASUS ROG STRIX AURA GAMIN G850G,850W / 80+GOLD / Full Modular / Length 180mm / 2xCPU / 1xPCIe (16 Pin) / 2xPCIe (8 Pin) / ATX Version 3.0,5Y,7650
