category_mainboards,name_mainboards,specifications_mainboards,socket_mainboards,warranty_mainboards,price_mainboards
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850 LIVEMIXER WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,7290
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI B850 GAMING PLUS WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xDisplayPort / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,7290
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850 AORUS ELITE WIFI7 ICE DDR5 (REV. 1.1),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI(Front) / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,7890
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850 AORUS ELITE WIFI7 ICE DDR5 (REV. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI(Front) / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,7890
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850 AORUS STEALTH ICE DDR5 (rev. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,9550
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850 AORUS STEALTH DDR5 (rev. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,9550
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850 AI TOP DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 2xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xUSB Type-C(DP) / 2xLAN 10Gb / WiFi 7,Socket AM5,3Y,15990
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850I AORUS PRO DDR5 (REV. 1.0),Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 5.0 / 2xSATA / 2xM.2 Slots / MIni ITX / 1xHDMI / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,10190
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850I AORUS PRO DDR5 (REV. 1.1),Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 5.0 / 2xSATA / 2xM.2 Slots / Mini ITX / 1xHDMI / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,10190
AMD AM5 (X670 - X870),MAINBOARD (AM5) MSI X670E GAMING PLUS WIFI DDR5,Socket AM5 / AMD X670 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,7250
