category_headsets,name_headsets,specifications_headsets,warranty_headsets,price_headsets
GAMING HEADSET,HEADSET NUBWO X902 WHITE (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz,2Y,790
GAMING HEADSET,HEADSET ONIKUMA K9 RGB SPEACIAL EDITION BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response : 20Hz-20KHz,2Y,799
GAMING HEADSET,HEADSET NUBWO X99 WHITE (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response : 20 Hz-20 KHz / Microphone Frequency Response :100 Hz-10 KHz / Software Nubwo Support,2Y,829
GAMING HEADSET,HEADSET ONIKUMA X88 GAMING BLACK (3.5MM),USB / Aux 3.5 mm / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,2Y,849
GAMING HEADSET,HEADSET FANTECH HG30 CARBON BLACK (7.1),USB-A / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Fantech Support,2Y,890
GAMING HEADSET,HEADSET FANTECH HG30 CARBON WHITE (7.1),USB-A / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Fantech Support,2Y,890
GAMING HEADSET,HEADSET SIGNO HP832 STRIKER RGB WHITE,USB / 20Hz-20kHz / Ear cushion : Leather / RGB,2Y,890
GAMING HEADSET,HEADSET SIGNO HP836 WARDORF BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Signo Support,2Y,890
GAMING HEADSET,HEADSET SIGNO HP836 WARDORF WHITE (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Signo Support,2Y,890
GAMING HEADSET,HEADSET ONIKUMA K9 RGB SPEACIAL EDITION PINK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response : 20Hz-20KHz,2Y,899
GAMING HEADSET,HEADSET SIGNO HP834 SPHERE BLACK (7.1),USB / 20-20kHz / Ear cushion : Leather / RGB,2Y,950
GAMING HEADSET,HEADSET ASUS TUF A302 H1 GEN II,USB Type-A / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Support Armoury Crate,2Y,990
GAMING HEADSET,HEADSET LOGITECH G335 LALA BLACK (2.1),AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 20Hz-20kHz / Microphone Frequency Response : 100Hz-10KHz,2Y,1090
GAMING HEADSET,HEADSET LOGITECH G335 LALA WHITE (2.1),AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 20Hz-20kHz / Microphone Frequency Response : 100Hz-10KHz,2Y,1090
GAMING HEADSET,HEADSET CORSAIR HS35 SURROUND V2 BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Support iCUE,2Y,1090
GAMING HEADSET,HEADSET SIGNO HP839 ZEROSSA BLACK RGB (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Software Signo Support,1Y,1090
GAMING HEADSET,HEADSET FANTECH HG26 ALTO BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker Frequency Response : 20Hz-20kHz / Software Support Fantech,2Y,1190
GAMING HEADSET,HEADSET ACER PREDATOR GALEA 365 (7.1),USB 2.0/ Aux 3.5 mm / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,LT,1250
GAMING HEADSET,HEADSET ASUS ROG DELTA S CORE (7.1),Aux 3.5mm / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Software Support Armoury Crate,2Y,1290
GAMING HEADSET,HEADSET HYPERX CLOUD MINI BLACK (2.1),Aux 3.5 mm / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,2Y,1290
GAMING HEADSET,HEADSET HYPERX CLOUD MINI MULTI (2.1),Aux 3.5 mm / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,2Y,1290
GAMING HEADSET,HEADSET HYPERX CLOUD STINGER 2 CORE FOR PC (2.1),Aux 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 20Hz-20KHz / Microphone Frequency Response : 100Hz-10KHz / Software Support NGENUITY,2Y,1290
GAMING HEADSET,HEADSET RAZER BLACKSHARK V2 X BLACK (7.1),AUX 3.5 mm / 12Hz-28kHz / Ear cushion : Leather,2Y,1490
GAMING HEADSET,HEADSET RAZER BLACKSHARK V2 X GREEN (7.1),AUX 3.5mm / 12Hz-28kHz / Ear cushion : Leather,2Y,1490
GAMING HEADSET,HEADSET RAZER BLACKSHARK V2 X QUARTZ (7.1),AUX 3.5 mm / Surround 7.1 / Speaker frequency response 12Hz-28kHz / Microphone frequency response 100 Hz-10 KHz,2Y,1490
GAMING HEADSET,HEADSET RAZER BLACKSHARK V2 X USB BLACK (7.1),USB Type-A / Surround 7.1 / Speaker frequency response 20Hz-20kHz / Microphone frequency response 100 Hz-10 KHz,2Y,1490
GAMING HEADSET,HEADSET RAZER BLACKSHARK V2 X WHITE (7.1),AUX 3.5 mm / 12Hz-28kHz / Ear cushion : Leather,2Y,1490
GAMING HEADSET,HEADSET HYPERX CLOUD STINGER 2 (2.1),AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 10Hz-28kHz,2Y,1690
GAMING HEADSET,HEADSET HYPERX CLOUD III BLACK (2.1),USB 2.0 / AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 10Hz-21kHz / Microphone Frequency Response : 150Hz-17kHz / Software Support NGENUITY,2Y,2290
GAMING HEADSET,HEADSET HYPERX CLOUD III BLACK RED (2.1),USB 2.0 / AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 10Hz-21kHz / Microphone Frequency Response : 150Hz-17kHz / Software Support NGENUITY,2Y,2290
GAMING HEADSET,HEADSET CORSAIR HS80 RGB WIRED CARBON (7.1),USB / 20Hz-40kHz / Ear cushion : Leather,2Y,2990
GAMING HEADSET,HEADSET CORSAIR HS80 RGB WIRED WHITE (7.1),USB / 20Hz-40kHz / Ear cushion : Cloth,2Y,2990
GAMING HEADSET,HEADSET HYPERX CLOUD ALPHA RED (2.1),AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 13Hz-27kHz,2Y,3090
